question_id,topic,question_text,question_type,resolution_criteria,created_date,question_status,resolved_option,comparison_to_outcome,takeaways,relevant_links
bfg_q1,Bundibugyo Ebola (DRC-Uganda),"How many cumulative laboratory-confirmed Bundibugyo virus disease cases (DRC and Uganda combined) will there be since the outbreak declaration on 14 May 2026 to 31 October 2026, according to WHO?",range,The latest confirmed-case total in the WHO report covering on or nearest before October 31 2026. Source: WHO Ebola (DRC 2026) situation reports and Disease Outbreak News.,46218,unresolved,TBD,TBD,TBD,https://www.who.int/emergencies/disease-outbreak-news
bfg_q2,Bundibugyo Ebola (DRC-Uganda),"How many cumulative reported deaths (confirmed plus probable) will there be in the Bundibugyo outbreak since the outbreak declaration on 14 May 2026 to 31 December 2026, according to WHO?",range,The death total in the WHO report covering on or nearest before 31 December 2026. Source: WHO situation reports.,46218,unresolved,TBD,TBD,TBD,https://www.who.int/emergencies/disease-outbreak-news
bfg_q3,Bundibugyo Ebola (DRC-Uganda),Will the Bundibugyo virus disease PHEIC still be in effect on 31 December 2026?,binary,TRUE if the PHEIC has not been terminated by 31 December 2026. Source: WHO IHR Emergency Committee statements and the Director-General PHEIC determinations.,46218,unresolved,TBD,TBD,TBD,https://www.who.int/health-topics/international-health-regulations
bfg_q4,Bundibugyo Ebola (DRC-Uganda),How many countries other than DRC or Uganda will report at least one laboratory-confirmed Bundibugyo case linked to this outbreak by 31 December 2026? (Baseline is 1 – France),range,"The number of countries other than DRC or Uganda with at least one laboratory-confirmed Bundibugyo case linked to this outbreak, as of 31 December 2026. Baseline 1 (France). Source: WHO Disease Outbreak News.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/emergencies/disease-outbreak-news
bfg_q5,Bundibugyo Ebola (DRC-Uganda),"Which is the furthest Bundibugyo countermeasure milestone reached by 31 December 2026? (Baseline: Oxford Phase I Bundibugyo vaccine trial launched 13 July 2026. WHO therapeutic trial, remdesivir and MBP134, began enrolling patients on 2 July 2026)",categorical,"Resolves to the furthest milestone reached, per WHO, the trial sponsors, or the regulator, as of 31 December 2026. Source: WHO, ICTRP and other trial registries, partner announcements.",46218,unresolved,TBD,TBD,TBD,https://trialsearch.who.int
bfg_q6,Avian influenza H5 (World),How many human H5 infections (any neuraminidase subtype) will be reported to WHO globally between 1 July 2026 and 31 December 2026?,range,"Count of newly reported human H5 cases with onset or report date inside the window, as of 31 December 2026. Source: WHO Influenza at the human-animal interface assessments and Disease Outbreak News.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/teams/global-influenza-programme/avian-influenza/monthly-risk-assessment-summary
bfg_q7,Avian influenza H5 (World),Will WHO or a national public health authority confirm at least one cluster meeting its stated criteria for sustained human-to-human transmission of an H5 virus on or before 31 December 2026?,binary,TRUE on a WHO or national-authority statement reporting confirmed onward human-to-human spread beyond a single generation by 31 December 2026. Source: WHO.,46218,unresolved,TBD,TBD,TBD,https://www.who.int/teams/global-influenza-programme/avian-influenza
bfg_q8,Avian influenza H5 (World),What will be the predominant H5 subtype among human cases reported globally from 1 July 2026 to 31 December 2026?,categorical,"The subtype with the most reported human cases in the window, as of 31 December 2026. Source: WHO.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/teams/global-influenza-programme/avian-influenza/monthly-risk-assessment-summary
bfg_q9,H5N1 (US),How many US states will have H5N1 dairy-cattle detections by 31 December 2026? Number is cumulative states reporting H5N1 in livestock since outbreak was declared in 2024.,range,Cumulative count of US states with H5N1 dairy-cattle detections as of 31 December 2026. Source: USDA APHIS livestock detections.,46218,unresolved,TBD,TBD,TBD,https://www.aphis.usda.gov/livestock-poultry-disease/avian/avian-influenza/hpai-detections/hpai-confirmed-cases-livestock
bfg_q10,PHEIC (World),"How many new PHEICs will be declared for events not already under a PHEIC as of 1 July 2026, during 1 July 2026 to 31 December 2026?",categorical,"Count of new PHEIC determinations by the Director-General in the window, as of 31 December 2026. Source: WHO.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/health-topics/international-health-regulations
bfg_q11,Chikungunya (Americas),"How many chikungunya cases will be in the Americas from 1 January to 31 December 2026, according to PAHO?",range,"Chikungunya cases reported in the Americas in 2026, as of 31 December 2026. Baseline 164,889 suspected as of July 9 2026. Source: WHO.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/health-topics/chikungunya
bfg_q12,Mpox (World),Will WHO declare a new PHEIC for mpox at any point between 15 July 2026 and 31 December 2026?,binary,"TRUE on a fresh mpox PHEIC determination in the window, by 31 December 2026. The prior mpox PHEIC was lifted September 5 2025. Source: WHO.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/emergencies/situation-reports
bfg_q13,Mpox (World),How many cumulative human mpox cases will be reported to WHO globally between 1 July 2026 and 31 December 2026?,range,"New confirmed cases reported in the window, as of 31 December 2026. Bins to be locked at launch. Source: WHO multi-country mpox external situation reports.",46218,unresolved,TBD,TBD,TBD,https://www.who.int/emergencies/situation-reports
bfg_q14,Measles (US),How many US confirmed measles cases will be reported from 1 January 2026 to 31 December 2026?,range,"US confirmed measles cases in 2026 per the CDC measles tracker, as of 31 December 2026. Source: CDC.",46218,unresolved,TBD,TBD,TBD,https://www.cdc.gov/measles/data-research/index.html
